name,color
good for beginners,fbca04
help wanted,fbca04
priority: critical,e11d21
priority:  high,eb6420
priority: normal,dddddd
priority: low,009800
status: in progress,006b75
status: needs docs,006b75
status: needs tests,006b75
status: wontfix,333333
type: bug,e11d21
type: duplicate,333333
type: feature request,cc317c
type: improvement,cc317c
type: pre-launch todo,cc317c
type: question,cc317c
